Tanggal,qty,Jumlah
2017-10-12,0,0
2017-10-13,8118,52363100
2017-10-14,0,0
2017-10-15,7278,46943100
2017-10-16,8495,54792750
2017-10-17,7638,49265100
2017-10-18,7899,50950100
2017-10-19,8161,52638450
2017-10-20,0,0
2017-10-21,7954,51303306
2017-10-22,11410,73594500
2017-10-23,4469,28825050
2017-10-24,7903,50974350
2017-10-25,7931,51154950
2017-10-26,7255,46794750
2017-10-27,0,0
2017-10-28,8438,54425100
2017-10-29,0,0
2017-10-30,0,0
2017-10-31,7734,49884300
2017-11-01,22,141900
2017-11-02,0,0
2017-11-03,8227,53063150
2017-11-04,7710,49729500
2017-11-05,41,264450
2017-11-06,57,367660
2017-11-07,7968,51393600
2017-11-08,0,0
2017-11-09,20,129000
2017-11-10,0,0
2017-11-11,8022,51741900
2017-11-12,0,0
2017-11-13,0,0
2017-11-14,7992,51548400
2017-11-15,7468,48168600
2017-11-16,0,0
2017-11-17,8318,53651100
2017-11-18,0,0
2017-11-19,7739,49916550
2017-11-20,0,0
2017-11-21,7678,49523100
2017-11-22,8250,53212500
2017-11-23,0,0
2017-11-24,6653,42911850
2017-11-25,1292,8333400
2017-11-26,0,0
2017-11-27,7976,51445200
2017-11-28,7810,50374500
2017-11-29,7788,50268600
2017-11-30,0,0
2017-12-01,8094,52206300
2017-12-02,0,0
2017-12-03,0,0
2017-12-04,7942,51225900
2017-12-05,7447,48033150
2017-12-06,31,199950
2017-12-07,8130,52438500
2017-12-08,7800,50310000
2017-12-09,0,0
2017-12-10,7991,51541950
2017-12-11,10,64500
2017-12-12,8095,52212750
2017-12-13,0,0
2017-12-14,7799,50303550
2017-12-15,7865,50729250
2017-12-16,0,0
2017-12-17,7881,50832450
2017-12-18,0,0
2017-12-19,8059,51980550
2017-12-20,0,0
2017-12-21,7889,50851800
2017-12-22,7926,49122700
2017-12-23,0,0
2017-12-24,7823,50458350
2017-12-25,136,877200
2017-12-26,7821,50445450
2017-12-27,0,0
2017-12-28,7952,51290400
2017-12-29,8088,52167600
2017-12-30,0,0
2017-12-31,7793,50264850
2018-01-01,7919,51077550
2018-01-02,7980,51471000
2018-01-03,0,0
2018-01-04,27,174150
2018-01-05,7884,50851800
2018-01-06,0,0
2018-01-07,7729,49852050
2018-01-08,7871,50767950
2018-01-09,0,0
2018-01-10,7958,51329100
2018-01-11,0,0
2018-01-12,7695,49632750
2018-01-13,0,0
2018-01-14,8130,52438500
2018-01-15,0,0
2018-01-16,7967,51387150
2018-01-17,7879,50819500
2018-01-18,0,0
2018-01-19,7988,51522600
2018-01-20,0,0
2018-01-21,7913,51038850
2018-01-22,7900,50955000
2018-01-23,0,0
2018-01-24,7996,51574200
2018-01-25,0,0
2018-01-26,6776,43705200
2018-01-27,1135,7320750
2018-01-28,8017,51709650
2018-01-29,7958,51329100
2018-01-30,0,0
2018-01-31,7923,51103350
2018-02-01,7890,50890500
2018-02-02,0,0
2018-02-03,7956,51316200
2018-02-04,0,0
2018-02-05,7785,50213250
2018-02-06,0,0
2018-02-07,7861,50703450
2018-02-08,7944,51238800
2018-02-09,0,0
2018-02-10,7996,51574200
2018-02-11,0,0
2018-02-12,7953,51296850
2018-02-13,0,0
2018-02-14,7770,50116500
2018-02-15,7920,51084000
2018-02-16,0,0
2018-02-17,0,0
2018-02-18,7801,50316450
2018-02-19,8054,51948300
2018-02-20,0,0
2018-02-21,7857,50677650
2018-02-22,7972,51419400
2018-02-23,0,0
2018-02-24,8078,52103100
2018-02-25,0,0
2018-02-26,15412,99407750
